Sci Name,Name, Plant Type,Color,Hardiness Zones,Blooms in,Height,Soil needs,Sun needs,Water needs,Maintenance
Achillea|Yarrow|"Perennials"|"Yarrow comes in a wide range of colors including white, cream, yellow, purple, orange, pink and red."|":3:4:5:6:7:8:9:"|"Spring, Summer"|"This plant usually grows between 30 and 90 cm (1 to 3 ft) in height."|"Achillea will grow best in well drained soil, with a pH between 5.5 and 7.0."|"Full sun"|"low"|"low"
Aconitum|Aconite; Monkshood; Wolfsbane|"Perennials"|"The flowers come in shades of blue, purple, white, yellow, or even pink."|":3:4:5:6:7:8:"|"Autumn, Summer"|"Aconite is a tall plant that grows from 30 cm (1 ft) to 180 cm (6 ft) high, depending on species."|"Aconite will perform best in rich, moist and well drained soil, with a pH level between 5.0 and 6.0."|"Full sun, Partial sun"|"average"|"medium"
Agapanthus|African Lily; Lily of the Nile|"Bulbs, Perennials"|"These flowers are usually blue, white and purple."|":6:7:8:9:10:11:"|"Autumn, Summer"|"Agapanthus range in height from just 20 cm (8 inches) up to 1,8 m (6 ft) for larger varieties."|"Agapanthus grows best in fertile, moist and well-drained soil. The pH of the soil is not so important. It can grow in acid, neutral, and alkaline soils."|"Full sun, Partial sun"|"average"|"low"
Ageratum|Whiteweed; Flossflower|"Annuals"|"The flowers come in shades of blue, purple, red, pink and white."|":2:3:4:5:6:7:8:9:10:11:"|"Autumn, Summer"|"These plants can grow up to 60 cm (2 ft) in height."|"Ageratum prefers moist, but well drained soil, with pH between 5.5 and 7.5."|"Full sun, Partial sun"|"average"|"low"
Ajuga|Bugle; Bugleweed|"Annuals, Perennials"|"The flowers are usually blue, purple and white."|":3:4:5:6:7:8:9:10:"|"Spring, Summer"|"These plants can grow up to 30 cm (1 ft) tall."|"The plant grows best in moist and well drained soil, with a pH between 4.0 to 6.5. However, it can handle drought and dry soils."|"Partial sun, Shade"|"average"|"low"
Alcea|Hollyhock|"Annuals, Perennials"|"Hollyhock blooms in a rainbow of colors including red, purple, pink, white, yellow and even almost black."|":3:4:5:6:7:8:9:"|"Summer"|"Hollyhocks range in height from 60 cm (2 ft) to 3 metres (10 ft) tall."|"Alcea prefers rich and well drained soil, with a pH between 6.0 and 8.0."|"Full sun"|"average"|"hard"
Allium|Ornamental Onion|"Bulbs, Perennials"|"Most Alliums come in shades of purple, but there are pink, blue, white and yellow varieties as well."|":3:4:5:6:7:8:9:10:"|"Spring, Summer"|"Alliums range in size from 15 cm (6 inches) to 180 cm (6 ft) giants."|"Alliums are not fussy about their soil, so long as it is well drained."|"Full sun"|"average"|"low"
Alstroemeria|Peruvian Lily; Lily of the Incas|"Bulbs, Perennials"|"The flowers come in various colors, from orange, pink, rose, purple, red to yellow and white."|":5:6:7:8:9:10:11:"|"Autumn, Summer"|"The species range from dwarf species (20 cm or 8 inches tall) to the larger varieties that grow up to 120 cm or 4 ft in height."|"The plant grows best in fertile, moist and well drained soil which is neutral or slightly acidic."|"Full sun, Partial sun"|"average"|"low"
Amaryllis|Amaryllis|"Bulbs, Perennials"|"The flower color is usually some shade of pink and sometimes even white."|":7:8:9:10:"|"Autumn, Summer"|"Amaryllis has stem that can reach 30 to 90 cm (1-3 ft) in height, and each flower is 6 to 11 cm (2-4 inches) in diameter."|"Amaryllis grows best in well-drained and slightly acidic soil."|"Full sun, Partial sun"|"average"|"low"
Amsonia|Blue Star|"Perennials"|"The flowers are usually white but may be blue, pink and purple."|":3:4:5:6:7:8:9:"|"Spring, Summer"|"These plants grow up to 120 cm (4 ft) tall, depending on the variety. There are also dwarf varieties that only reach 10 cm (4 inches) in height."|"Amsonia prefers rich, moist and well-drained soil. The ideal soil pH is between 6.0 and 7.0."|"Full sun, Partial sun"|"average"|"low"
